BD,Country,lus,Update,Daily request,Publisher name,Seller id,Category,Detailed Category,App bundle,App Name,Integration,Play Store/App Store Link,FullAppAdsURL,Ad format,Top GEOs,Domain,TradPlus direct adstxt,是否添加,配置ttd白名单,Media Kit,,,,,,,,,,
Bella,Slovenia,Overseas,,738777,Outfit7,621,Games,模拟游戏,1536584509,My Talking Angela 2,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id1536584509,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,131145,Outfit7,621,Games,模拟游戏,416345319,Talking Ben the Dog,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id416345319,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,1095658,Outfit7,621,Games,模拟游戏,1337578317,My Talking Tom 2,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id1337578317,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,91014,Outfit7,621,Games,模拟游戏,377194688,Talking Tom Cat,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id377194688,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,297112,Outfit7,621,Games,模拟游戏,1473424857,My Talking Tom Friends,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id1473424857,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,121968,Outfit7,621,Games,模拟游戏,657500465,My Talking Tom,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id657500465,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,321060,Outfit7,621,Games,模拟游戏,909351158,My Talking Angela,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id909351158,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,207403,Outfit7,621,Games,模拟游戏,1089336971,Talking Tom Gold Run,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id1089336971,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,162232,Outfit7,621,Games,模拟游戏,1434807653,Talking Tom Hero Dash Run Game,Prebid,https://apps.apple.com/id/app/my-talking-angela-2/id1434807653,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,6015894,Outfit7,621,Games,模拟游戏,com.outfit7.mytalkingtomfriends,My Talking Tom Friends,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,415758,Outfit7,621,Games,模拟游戏,com.outfit7.mytalkinghank,My Talking Hank,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.mytalkinghank,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,323172,Outfit7,621,Games,模拟游戏,com.outfit7.talkingtomtimerush,Talking Tom Time Rush,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomtimerush,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,146626,Outfit7,621,Games,模拟游戏,com.outfit7.hank2,My Talking Hank: Islands,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.hank2,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Roya,China-Beijing,Domestic,,1231110,Opera,104752,Reading,新闻,com.opera.app.news.us,Apex News: Breaking & Local,RTB,https://play.google.com/store/apps/details?id=com.opera.app.news.us,https://res.adx.opera.com/app-ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Roya,China-Beijing,Domestic,,789075,Opera,104752,Tools,浏览器,com.opera.browser.afin,Opera browser with AI,RTB,APK,https://res.adx.opera.com/app-ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,195484503,Sharechat,114375,Social Entertainment,短视频,in.mohalla.sharechat,ShareChat - Made in India,RTB,https://play.google.com/store/apps/details?id=in.mohalla.sharechat,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,108068764,Sharechat,114375,Social Entertainment,短视频,in.mohalla.video,Moj,RTB,https://play.google.com/store/apps/details?id=in.mohalla.video,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,0,Sharechat,114375,Social Entertainment,短视频,in.mohalla.video.lite,Moj Lite,RTB,https://play.google.com/store/apps/details?id=in.mohalla.video.lite,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,0,Sharechat,114375,Social Entertainment,短视频,in.mohalla.sharechatlite,ShareChat Lite,RTB,https://play.google.com/store/apps/details?id=in.mohalla.sharechatlite,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,2041485,Sharechat,114375,Social Entertainment,短视频,com.next.innovation.takatak,Moj Lite +,RTB,https://play.google.com/store/apps/details?id=com.next.innovation.takatak,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,0,Sharechat,114375,Social Entertainment,短视频,1523457550,Moj - Short Video App,RTB,https://apps.apple.com/tr/app/moj-short-video-app/id1523457550,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,3668993,Sharechat,114375,Social Entertainment,短视频,1440640105,ShareChat - Videos & Status,RTB,https://apps.apple.com/tr/app/sharechat-videos-status/id1440640105,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Bella,India,Overseas,,0,Sharechat,114375,Social Entertainment,短视频,1522698952,Moj Lite ,RTB,https://apps.apple.com/tr/app/moj-lite/id1522698952,https://sharechat.com/ads.txt,Display,"ID, IN, UK, NG, MX…",,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,640450378,xiaomi,637,OEM,厂商,com.mi.android.globalminusscreen,App Vault,RTB,https://play.google.com/store/apps/details?id=com.mi.android.globalminusscreen,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,57154301,xiaomi,637,OEM,厂商,com.mi.globalbrowser,Mi Browser,RTB,https://play.google.com/store/apps/details?id=com.mi.globalbrowser,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,0,xiaomi,637,OEM,厂商,com.funnypuri.client,Zili Short Video App for India,RTB,https://play.google.com/store/apps/details?id=com.funnypuri.client,https://www.zilivideo.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,43743172,xiaomi,637,OEM,厂商,com.miui.videoplayer,Mi Video - Video player,RTB,https://play.google.com/store/apps/details?id=com.miui.videoplayer,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,334069446,xiaomi,637,OEM,厂商,com.miui.cleaner,Cleaner,RTB,https://play.google.com/store/apps/details?id=com.miui.cleaner,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,285457553,xiaomi,637,OEM,厂商,com.miui.msa.global,Msa,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,41185502,xiaomi,637,OEM,厂商,com.miui.cleanmaster,Mi Cleaner,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,239906,xiaomi,637,OEM,厂商,com.miui.home,Miuihome,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
